"numero_ordine","cliente_id","data_creazione","data_conferma","stato","totale","voucher_id"
"1","CLI001","2025-12-26T14:34:37.635261","","IN_CREAZIONE","6.8",""
"2","2025-12-27","2025-12-27T23:03:30.713392","","IN_CONSEGNA","6.0",""
"3","CLI001","2025-12-28T00:53:50.71043","","IN_CONSEGNA","13.5",""
"4","CLI001","2026-01-16T22:47:50.875169","","IN_CONSEGNA","6.8",""
"5","CLI001","2026-02-06T16:21:15.936229","","IN_CREAZIONE","7.8",""
"6","CLI001","2026-02-07T15:07:41.311949","","IN_CREAZIONE","17.1",""
"7","CLI001","2026-02-08T00:09:40.534811","","IN_CREAZIONE","16.3",""
"8","CLI001","2026-02-08T00:23:52.646693","","IN_CREAZIONE","7.8",""
"9","CLI001","2026-02-08T00:25:15.000116","","IN_CREAZIONE","6.0",""
"10","CLI001","2026-02-08T21:30:45.396112","","IN_CREAZIONE","8.5",""
"11","CLI001","2026-02-08T22:08:05.79622","","IN_CREAZIONE","6.0",""
"12","CLI001","2026-02-08T22:17:06.564137","","IN_CREAZIONE","8.5",""
"13","CLI001","2026-02-08T22:32:29.120704","","IN_CREAZIONE","8.5",""
"14","CLI001","2026-02-09T14:49:35.279661","","IN_CREAZIONE","8.5",""
"15","CLI001","2026-02-09T15:44:53.840038","","IN_CREAZIONE","8.0",""
"16","CLI001","2026-02-12T11:49:12.380892","","IN_CREAZIONE","8.0",""
